DATE,CPIAUCSL_CHG,CPIAUCSL_PC1
1947-02-01,0.14,.
1947-03-01,0.38,.
1947-04-01,0.0,.
1947-05-01,-0.05,.
1947-06-01,0.13,.
1947-07-01,0.15,.
1947-08-01,0.17,.
1947-09-01,0.44,.
1947-10-01,0.07,.
1947-11-01,0.15,.
1947-12-01,0.35,.
1948-01-01,0.27,10.24209
1948-02-01,-0.01,9.48196
1948-03-01,-0.17,6.81818
1948-04-01,0.32,8.27273
1948-05-01,0.19,9.38497
1948-06-01,0.14,9.37500
1948-07-01,0.25,9.76158
1948-08-01,0.03,9.06250
1948-09-01,-0.07,6.65499
1948-10-01,-0.05,6.11087
1948-11-01,-0.15,4.77016
1948-12-01,-0.11,2.73387
1949-01-01,-0.04,1.39358
1949-02-01,-0.10,1.01394
1949-03-01,0.00,1.74468
1949-04-01,0.01,0.41982
1949-05-01,-0.01,-0.41649
1949-06-01,0.01,-0.95238
1949-07-01,-0.22,-2.86885
1949-08-01,0.0,-2.98813
1949-09-01,0.05,-2.50411
1949-10-01,-0.08,-2.63266
1949-11-01,0.03,-1.90397
1949-12-01,-0.09,-1.82952
1950-01-01,-0.10,-2.08247
1950-02-01,0.10,-1.25471
1950-03-01,0.03,-1.12923
1950-04-01,0.01,-1.12876
1950-05-01,0.12,-0.58553
1950-06-01,0.11,-0.16722
1950-07-01,0.19,1.56118
1950-08-01,0.13,2.10970
1950-09-01,0.14,2.48421
1950-10-01,0.16,3.50655
1950-11-01,0.1,3.79747
1950-12-01,0.38,5.80263
1951-01-01,0.40,7.95406
1951-02-01,0.45,9.40280
1951-03-01,0.05,9.47547
1951-04-01,0.04,9.59831
1951-05-01,0.07,9.33950
1951-06-01,-0.06,8.58459
1951-07-01,-0.02,7.64437
1951-08-01,-0.05,6.85950
1951-09-01,0.17,6.94330
1951-10-01,0.13,6.77551
1951-11-01,0.16,6.99187
1951-12-01,0.15,5.96477
1952-01-01,-0.02,4.21592
1952-02-01,-0.04,2.24545
1952-03-01,-0.02,1.97063
1952-04-01,0.07,2.08333
1952-05-01,0.01,1.84686
1952-06-01,0.06,2.31392
1952-07-01,0.15,2.97183
1952-08-01,0.01,3.20959
1952-09-01,-0.06,2.30503
1952-10-01,0.06,2.02599
1952-11-01,0.00,1.40578
1952-12-01,0.02,0.90669
1953-01-01,-0.07,0.71834
1953-02-01,-0.05,0.68156
1953-03-01,0.04,0.90944
1953-04-01,0.06,0.86924
1953-05-01,0.01,0.86891
1953-06-01,0.07,0.90464
1953-07-01,0.02,0.41229
1953-08-01,0.06,0.59948
1953-09-01,0.04,0.97634
1953-10-01,0.06,0.97415
1953-11-01,-0.10,0.59948
1953-12-01,0.02,0.59903
1954-01-01,0.07,1.12613
1954-02-01,0.05,1.50432
1954-03-01,-0.06,1.12655
1954-04-01,-0.07,0.63694
1954-05-01,0.07,0.86142
1954-06-01,0.01,0.63504
1954-07-01,-0.08,0.26129
1954-08-01,-0.01,0.00000
1954-09-01,-0.04,-0.29751
1954-10-01,-0.09,-0.85343
1954-11-01,0.06,-0.26071
1954-12-01,-0.01,-0.37216
1955-01-01,0.00,-0.63103
1955-02-01,0.05,-0.62986
1955-03-01,-0.03,-0.51987
1955-04-01,0.00,-0.26061
1955-05-01,-0.02,-0.59413
1955-06-01,-0.06,-0.85375
1955-07-01,0.05,-0.37230
1955-08-01,-0.04,-0.48417
1955-09-01,0.13,0.14920
1955-10-01,-0.03,0.37425
1955-11-01,0.06,0.37341
1955-12-01,-0.01,0.37355
1956-01-01,-0.04,0.22413
1956-02-01,0.03,0.14914
1956-03-01,0.03,0.37327
1956-04-01,0.04,0.52258
1956-05-01,0.10,0.97124
1956-06-01,0.12,1.64732
1956-07-01,0.14,1.98057
1956-08-01,0.02,2.20808
1956-09-01,0.04,1.86220
1956-10-01,0.16,2.57271
1956-11-01,0.00,2.34375
1956-12-01,0.12,2.82843
1957-01-01,0.04,3.13082
1957-02-01,0.13,3.49963
1957-03-01,0.06,3.60729
1957-04-01,0.07,3.71333
1957-05-01,0.07,3.58861
1957-06-01,0.11,3.53591
1957-07-01,0.08,3.29791
1957-08-01,0.09,3.55181
1957-09-01,0.04,3.54662
1957-10-01,0.00,2.94438
1957-11-01,0.09,3.27154
1957-12-01,0.06,3.04017
1958-01-01,0.17,3.50560
1958-02-01,0.06,3.23741
1958-03-01,0.17,3.62527
1958-04-01,0.07,3.61618
1958-05-01,0.00,3.35714
1958-06-01,-0.03,2.84596
1958-07-01,-0.02,2.48315
1958-08-01,0.05,2.33380
1958-09-01,-0.03,2.08333
1958-10-01,0.00,2.08333
1958-11-01,0.04,1.90074
1958-12-01,0.02,1.75623
1959-01-01,0.04,1.29190
1959-02-01,-0.01,1.04530
1959-03-01,-0.03,0.34638
1959-04-01,0.01,0.13822
1959-05-01,0.06,0.34554
1959-06-01,0.07,0.69180
1959-07-01,0.04,0.89997
1959-08-01,0.03,0.82930
1959-09-01,0.07,1.17606
1959-10-01,0.10,1.52196
1959-11-01,0.00,1.38169
1959-12-01,0.06,1.51881
1960-01-01,-0.04,1.24095
1960-02-01,0.04,1.41379
1960-03-01,0.00,1.51881
1960-04-01,0.13,1.93237
1960-05-01,0.03,1.82507
1960-06-01,0.04,1.71762
1960-07-01,-0.06,1.37221
1960-08-01,0.06,1.47361
1960-09-01,0.00,1.23077
1960-10-01,0.14,1.36286
1960-11-01,0.03,1.46508
1960-12-01,0.03,1.36008
1961-01-01,0.03,1.60027
1961-02-01,0.00,1.46209
1961-03-01,0.00,1.46209
1961-04-01,-0.03,0.91401
1961-05-01,0.03,0.91309
1961-06-01,0.00,0.77676
1961-07-01,0.08,1.25212
1961-08-01,0.02,1.11449
1961-09-01,0.04,1.24958
1961-10-01,0.00,0.77311
1961-11-01,0.00,0.67159
1961-12-01,0.03,0.67092
1962-01-01,0.03,0.67024
1962-02-01,0.07,0.90483
1962-03-01,0.06,1.10590
1962-04-01,0.04,1.34183
1962-05-01,0.03,1.34048
1962-06-01,-0.03,1.23995
1962-07-01,0.01,1.00267
1962-08-01,0.06,1.13560
1962-09-01,0.14,1.46765
1962-10-01,-0.04,1.33422
1962-11-01,0.00,1.33422
1962-12-01,0.00,1.23292
1963-01-01,0.06,1.33156
1963-02-01,0.04,1.22883
1963-03-01,0.03,1.12695
1963-04-01,-0.03,0.89374
1963-05-01,0.03,0.89286
1963-06-01,0.10,1.32406
1963-07-01,0.08,1.55526
1963-08-01,0.06,1.55218
1963-09-01,-0.03,0.98619
1963-10-01,0.03,1.21791
1963-11-01,0.03,1.31666
1963-12-01,0.10,1.64582
1964-01-01,0.06,1.64258
1964-02-01,-0.03,1.41076
1964-03-01,0.03,1.40937
1964-04-01,0.01,1.54199
1964-05-01,0.03,1.54048
1964-06-01,0.03,1.30676
1964-07-01,0.01,1.07527
1964-08-01,0.03,0.97561
1964-09-01,0.03,1.17188
1964-10-01,0.04,1.20325
1964-11-01,0.09,1.39701
1964-12-01,0.04,1.19819
1965-01-01,0.03,1.09890
1965-02-01,0.00,1.19702
1965-03-01,0.03,1.19586
1965-04-01,0.07,1.38934
1965-05-01,0.10,1.61394
1965-06-01,0.13,1.93486
1965-07-01,-0.03,1.80529
1965-08-01,-0.03,1.61031
1965-09-01,0.07,1.73745
1965-10-01,0.03,1.70308
1965-11-01,0.10,1.73021
1965-12-01,0.10,1.92000
1966-01-01,0.03,1.91816
1966-02-01,0.20,2.55754
1966-03-01,0.10,2.77866
1966-04-01,0.10,2.86807
1966-05-01,0.07,2.76366
1966-06-01,0.03,2.43594
1966-07-01,0.07,2.75491
1966-08-01,0.20,3.48653
1966-09-01,0.10,3.57369
1966-10-01,0.10,3.79147
1966-11-01,0.03,3.55906
1966-12-01,0.04,3.35950
1967-01-01,-0.02,3.19950
1967-02-01,0.1,2.86783
1967-03-01,0.0,2.54817
1967-04-01,0.1,2.54027
1967-05-01,0.0,2.31839
1967-06-01,0.2,2.84126
1967-07-01,0.1,2.92758
1967-08-01,0.1,2.60337
1967-09-01,0.1,2.59542
1967-10-01,0.1,2.58752
1967-11-01,0.2,3.10219
1967-12-01,0.1,3.28068
1968-01-01,0.1,3.64742
1968-02-01,0.1,3.63636
1968-03-01,0.1,3.93939
1968-04-01,0.1,3.92749
1968-05-01,0.1,4.22961
1968-06-01,0.2,4.20420
1968-07-01,0.2,4.49102
1968-08-01,0.1,4.47761
1968-09-01,0.1,4.46429
1968-10-01,0.2,4.74777
1968-11-01,0.1,4.42478
1968-12-01,0.2,4.70588
1969-01-01,0.1,4.69208
1969-02-01,0.1,4.67836
1969-03-01,0.3,5.24781
1969-04-01,0.2,5.52326
1969-05-01,0.1,5.50725
1969-06-01,0.2,5.47550
1969-07-01,0.2,5.44413
1969-08-01,0.1,5.42857
1969-09-01,0.2,5.69801
1969-10-01,0.2,5.66572
1969-11-01,0.2,5.93220
1969-12-01,0.2,5.89888
1970-01-01,0.2,6.16246
1970-02-01,0.2,6.42458
1970-03-01,0.2,6.09418
1970-04-01,0.2,6.06061
1970-05-01,0.1,6.04396
1970-06-01,0.2,6.01093
1970-07-01,0.1,5.70652
1970-08-01,0.1,5.69106
1970-09-01,0.2,5.66038
1970-10-01,0.2,5.63003
1970-11-01,0.2,5.60000
1970-12-01,0.2,5.57029
1971-01-01,0.1,5.27704
1971-02-01,0.0,4.72441
1971-03-01,0.1,4.43864
1971-04-01,0.1,4.15584
1971-05-01,0.2,4.40415
1971-06-01,0.2,4.38144
1971-07-01,0.1,4.37018
1971-08-01,0.1,4.35897
1971-09-01,0.1,4.08163
1971-10-01,0.1,3.80711
1971-11-01,0.1,3.53535
1971-12-01,0.1,3.26633
1972-01-01,0.1,3.25815
1972-02-01,0.2,3.75940
1972-03-01,0.0,3.50000
1972-04-01,0.1,3.49127
1972-05-01,0.1,3.22581
1972-06-01,0.1,2.96296
1972-07-01,0.1,2.95567
1972-08-01,0.1,2.94840
1972-09-01,0.2,3.18627
1972-10-01,0.1,3.17848
1972-11-01,0.2,3.41463
1972-12-01,0.1,3.40633
1973-01-01,0.2,3.64078
1973-02-01,0.3,3.86473
1973-03-01,0.4,4.83092
1973-04-01,0.3,5.30120
1973-05-01,0.2,5.52885
1973-06-01,0.3,5.99520
1973-07-01,0.0,5.74163
1973-08-01,0.8,7.39857
1973-09-01,0.2,7.36342
1973-10-01,0.4,8.05687
1973-11-01,0.3,8.25472
1973-12-01,0.4,8.94118
1974-01-01,0.5,9.60187
1974-02-01,0.5,10.00000
1974-03-01,0.5,10.13825
1974-04-01,0.3,10.06865
1974-05-01,0.5,10.70615
1974-06-01,0.4,10.85973
1974-07-01,0.3,11.53846
1974-08-01,0.6,10.88889
1974-09-01,0.7,11.94690
1974-10-01,0.4,11.84211
1974-11-01,0.5,12.20044
1974-12-01,0.4,12.09503
1975-01-01,0.4,11.75214
1975-02-01,0.3,11.20507
1975-03-01,0.2,10.46025
1975-04-01,0.2,10.18711
1975-05-01,0.1,9.25926
1975-06-01,0.4,9.18367
1975-07-01,0.5,9.53347
1975-08-01,0.2,8.61723
1975-09-01,0.4,7.90514
1975-10-01,0.3,7.64706
1975-11-01,0.4,7.37864
1975-12-01,0.3,7.12909
1976-01-01,0.2,6.69216
1976-02-01,0.1,6.27376
1976-03-01,0.1,6.06061
1976-04-01,0.1,5.84906
1976-05-01,0.3,6.21469
1976-06-01,0.3,5.98131
1976-07-01,0.3,5.55556
1976-08-01,0.3,5.71956
1976-09-01,0.3,5.49451
1976-10-01,0.3,5.46448
1976-11-01,0.2,5.06329
1976-12-01,0.3,5.03597
1977-01-01,0.3,5.19713
1977-02-01,0.6,6.08229
1977-03-01,0.3,6.42857
1977-04-01,0.4,6.95187
1977-05-01,0.2,6.73759
1977-06-01,0.3,6.70194
1977-07-01,0.3,6.66667
1977-08-01,0.3,6.63176
1977-09-01,0.2,6.42361
1977-10-01,0.3,6.39033
1977-11-01,0.4,6.71256
1977-12-01,0.3,6.67808
1978-01-01,0.4,6.81431
1978-02-01,0.3,6.23946
1978-03-01,0.4,6.37584
1978-04-01,0.5,6.50000
1978-05-01,0.6,7.14286
1978-06-01,0.5,7.43802
1978-07-01,0.5,7.73026
1978-08-01,0.4,7.85597
1978-09-01,0.6,8.48287
1978-10-01,0.6,8.92857
1978-11-01,0.4,8.87097
1978-12-01,0.4,8.98876
1979-01-01,0.6,9.25040
1979-02-01,0.7,9.84127
1979-03-01,0.7,10.25237
1979-04-01,0.7,10.48513
1979-05-01,0.8,10.69767
1979-06-01,0.8,11.07692
1979-07-01,0.8,11.45038
1979-08-01,0.7,11.83612
1979-09-01,0.7,11.87970
1979-10-01,0.8,12.07154
1979-11-01,0.8,12.59259
1979-12-01,0.9,13.25479
1980-01-01,1.1,13.86861
1980-02-01,1.0,14.16185
1980-03-01,1.1,14.59227
1980-04-01,0.8,14.58924
1980-05-01,0.8,14.42577
1980-06-01,0.8,14.26593
1980-07-01,0.1,13.15068
1980-08-01,0.6,12.89009
1980-09-01,0.7,12.76882
1980-10-01,0.8,12.63298
1980-11-01,0.9,12.63158
1980-12-01,0.8,12.35371
1981-01-01,0.8,11.79487
1981-02-01,0.8,11.39241
1981-03-01,0.6,10.61174
1981-04-01,0.5,10.13597
1981-05-01,0.6,9.79192
1981-06-01,0.8,9.69697
1981-07-01,1.0,10.77482
1981-08-01,0.7,10.81731
1981-09-01,0.9,10.96544
1981-10-01,0.3,10.27155
1981-11-01,0.4,9.57944
1981-12-01,0.3,8.91204
1982-01-01,0.3,8.25688
1982-02-01,0.3,7.61364
1982-03-01,0.0,6.88488
1982-04-01,0.3,6.62177
1982-05-01,0.9,6.91193
1982-06-01,1.1,7.18232
1982-07-01,0.5,6.55738
1982-08-01,0.2,5.96529
1982-09-01,0.0,4.94092
1982-10-01,0.4,5.03212
1982-11-01,-0.1,4.47761
1982-12-01,-0.3,3.82572
1983-01-01,0.2,3.70763
1983-02-01,0.1,3.48469
1983-03-01,0.1,3.59029
1983-04-01,0.7,4.00000
1983-05-01,0.4,3.44108
1983-06-01,0.2,2.47423
1983-07-01,0.4,2.35897
1983-08-01,0.3,2.45650
1983-09-01,0.3,2.76356
1983-10-01,0.4,2.75229
1983-11-01,0.3,3.16327
1983-12-01,0.3,3.78710
1984-01-01,0.7,4.29009
1984-02-01,0.5,4.69388
1984-03-01,0.3,4.89297
1984-04-01,0.4,4.55466
1984-05-01,0.2,4.33468
