DATE,T10YIE,T10YIE_PCH
2003-01-01,1.7542857142857143,.
2003-02-01,1.9126315789473684,9.02623
2003-03-01,1.8628571428571429,-2.60241
2003-04-01,1.7747619047619048,-4.72904
2003-05-01,1.6609523809523810,-6.41266
2003-06-01,1.6123809523809524,-2.92431
2003-07-01,1.8659090909090909,15.72384
2003-08-01,2.1247619047619048,13.87275
2003-09-01,2.0880952380952381,-1.72568
2003-10-01,2.2140909090909091,6.03400
2003-11-01,2.3361111111111111,5.51107
2003-12-01,2.2840909090909091,-2.22679
2004-01-01,2.2630000000000000,-0.92338
2004-02-01,2.3221052631578947,2.61181
2004-03-01,2.3613043478260870,1.68808
2004-04-01,2.4447619047619048,3.53438
2004-05-01,2.6255000000000000,7.39287
2004-06-01,2.5876190476190476,-1.44281
2004-07-01,2.4738095238095238,-4.39823
2004-08-01,2.4218181818181818,-2.10167
2004-09-01,2.3266666666666667,-3.92893
2004-10-01,2.3680000000000000,1.77650
2004-11-01,2.5180000000000000,6.33446
2004-12-01,2.5622727272727273,1.75825
2005-01-01,2.4980000000000000,-2.50843
2005-02-01,2.5342105263157895,1.44958
2005-03-01,2.7104545454545455,6.95459
2005-04-01,2.6352380952380952,-2.77505
2005-05-01,2.4909523809523810,-5.47524
2005-06-01,2.3236363636363636,-6.71695
2005-07-01,2.3010000000000000,-0.97418
2005-08-01,2.3734782608695652,3.14986
2005-09-01,2.5000000000000000,5.33065
2005-10-01,2.5210000000000000,0.84000
2005-11-01,2.4715000000000000,-1.96351
2005-12-01,2.3438095238095238,-5.16652
2006-01-01,2.4100000000000000,2.82406
2006-02-01,2.5200000000000000,4.56432
2006-03-01,2.5265217391304348,0.25880
2006-04-01,2.5815789473684211,2.17917
2006-05-01,2.6640909090909091,3.19618
2006-06-01,2.5768181818181818,-3.27589
2006-07-01,2.5805000000000000,0.14288
2006-08-01,2.5856521739130435,0.19966
2006-09-01,2.3995000000000000,-7.19943
2006-10-01,2.3176190476190476,-3.41242
2006-11-01,2.3033333333333333,-0.61640
2006-12-01,2.3140000000000000,0.46310
2007-01-01,2.3228571428571429,0.38276
2007-02-01,2.3621052631578947,1.68965
2007-03-01,2.3877272727272727,1.08471
2007-04-01,2.4380952380952381,2.10945
2007-05-01,2.3727272727272727,-2.68111
2007-06-01,2.4119047619047619,1.65116
2007-07-01,2.3676190476190476,-1.83613
2007-08-01,2.2365217391304348,-5.53709
2007-09-01,2.2642105263157895,1.23803
2007-10-01,2.3254545454545455,2.70487
2007-11-01,2.3805000000000000,2.36708
2007-12-01,2.3085000000000000,-3.02457
2008-01-01,2.2752380952380952,-1.44084
2008-02-01,2.3325000000000000,2.51674
2008-03-01,2.4190000000000000,3.70847
2008-04-01,2.3127272727272727,-4.39325
2008-05-01,2.4200000000000000,4.63836
2008-06-01,2.4709523809523810,2.10547
2008-07-01,2.4386363636363636,-1.30784
2008-08-01,2.2095238095238095,-9.39511
2008-09-01,1.8361904761904762,-16.89655
2008-10-01,1.0618181818181818,-42.17276
2008-11-01,0.63833333333333333333,-39.88299
2008-12-01,0.24636363636363636364,-61.40517
2009-01-01,0.60550000000000000000,145.77491
2009-02-01,1.1178947368421053,84.62341
2009-03-01,1.1104545454545455,-0.66555
2009-04-01,1.3595238095238095,22.42949
2009-05-01,1.5760000000000000,15.92294
2009-06-01,1.8595454545454545,17.99146
2009-07-01,1.7395454545454545,-6.45319
2009-08-01,1.8133333333333333,4.24179
2009-09-01,1.7600000000000000,-2.94118
2009-10-01,1.9042857142857143,8.19805
2009-11-01,2.1273684210526316,11.71477
2009-12-01,2.2254545454545455,4.61068
2010-01-01,2.3584210526315789,5.97480
2010-02-01,2.2721052631578947,-3.65990
2010-03-01,2.2191304347826087,-2.33153
2010-04-01,2.3459090909090909,5.71299
2010-05-01,2.1130000000000000,-9.92831
2010-06-01,1.9472727272727273,-7.84322
2010-07-01,1.7704761904761905,-9.07919
2010-08-01,1.6768181818181818,-5.28999
2010-09-01,1.7385714285714286,3.68276
2010-10-01,2.0150000000000000,15.89975
2010-11-01,2.0970000000000000,4.06948
2010-12-01,2.2468181818181818,7.14441
2011-01-01,2.3335000000000000,3.85798
2011-02-01,2.3384210526315789,0.21089
2011-03-01,2.4504347826086957,4.79014
2011-04-01,2.5915000000000000,5.75674
2011-05-01,2.3900000000000000,-7.77542
2011-06-01,2.2468181818181818,-5.99087
2011-07-01,2.3795000000000000,5.90532
2011-08-01,2.1678260869565217,-8.89573
2011-09-01,1.8976190476190476,-12.46442
2011-10-01,1.9660000000000000,3.60351
2011-11-01,2.0120000000000000,2.33978
2011-12-01,2.0095238095238095,-0.12307
2012-01-01,2.0745000000000000,3.23341
2012-02-01,2.2220000000000000,7.11015
2012-03-01,2.3140909090909091,4.14451
2012-04-01,2.2666666666666667,-2.04937
2012-05-01,2.1445454545454545,-5.38770
2012-06-01,2.1228571428571429,-1.01132
2012-07-01,2.1285714285714286,0.26918
2012-08-01,2.2639130434782609,6.35833
2012-09-01,2.4363157894736842,7.61525
2012-10-01,2.4947619047619048,2.39895
2012-11-01,2.4265000000000000,-2.73621
2012-12-01,2.4765000000000000,2.06058
2013-01-01,2.5233333333333333,1.89111
2013-02-01,2.5547368421052632,1.24452
2013-03-01,2.5425000000000000,-0.47899
2013-04-01,2.4113636363636364,-5.15777
2013-05-01,2.2831818181818182,-5.31574
2013-06-01,2.0485000000000000,-10.27872
2013-07-01,2.1222727272727273,3.60130
2013-08-01,2.1845454545454545,2.93425
2013-09-01,2.1455000000000000,-1.78735
2013-10-01,2.1872727272727273,1.94699
2013-11-01,2.1705263157894737,-0.76563
2013-12-01,2.1633333333333333,-0.33139
2014-01-01,2.2261904761904762,2.90557
2014-02-01,2.1573684210526316,-3.09147
2014-03-01,2.1676190476190476,0.47514
2014-04-01,2.1623809523809524,-0.24165
2014-05-01,2.1909523809523810,1.32129
2014-06-01,2.2290476190476190,1.73875
2014-07-01,2.2627272727272727,1.51094
2014-08-01,2.1961904761904762,-2.94056
2014-09-01,2.0733333333333333,-5.59410
2014-10-01,1.9200000000000000,-7.39550
2014-11-01,1.8800000000000000,-2.08333
2014-12-01,1.6968181818181818,-9.74371
2015-01-01,1.6070000000000000,-5.29333
2015-02-01,1.7152631578947368,6.73697
2015-03-01,1.7618181818181818,2.71416
2015-04-01,1.8581818181818182,5.46956
2015-05-01,1.8655000000000000,0.39384
2015-06-01,1.8659090909090909,0.02193
2015-07-01,1.8209090909090909,-2.41169
2015-08-01,1.6114285714285714,-11.50417
2015-09-01,1.5228571428571429,-5.49645
2015-10-01,1.4985714285714286,-1.59475
2015-11-01,1.5705263157894737,4.80157
2015-12-01,1.5150000000000000,-3.53552
2016-01-01,1.4200000000000000,-6.27063
2016-02-01,1.3075000000000000,-7.92254
2016-03-01,1.5518181818181818,18.68590
2016-04-01,1.6147619047619048,4.05613
2016-05-01,1.5942857142857143,-1.26806
2016-06-01,1.4700000000000000,-7.79570
2016-07-01,1.4655000000000000,-0.30612
2016-08-01,1.4682608695652174,0.18839
2016-09-01,1.5147619047619048,3.16708
2016-10-01,1.6670000000000000,10.05030
2016-11-01,1.8220000000000000,9.29814
2016-12-01,1.9357142857142857,6.24118
2017-01-01,2.0115000000000000,3.91513
2017-02-01,2.0189473684210526,0.37024
2017-03-01,1.9960869565217391,-1.13229
2017-04-01,1.9063157894736842,-4.49736
2017-05-01,1.8368181818181818,-3.64565
2017-06-01,1.7286363636363636,-5.88963
2017-07-01,1.7720000000000000,2.50855
2017-08-01,1.7756521739130435,0.20610
2017-09-01,1.8340000000000000,3.28599
2017-10-01,1.8619047619047619,1.52152
2017-11-01,1.8576190476190476,-0.23018
2017-12-01,1.8995000000000000,2.25455
2018-01-01,2.0438095238095238,7.59724
2018-02-01,2.1015789473684211,2.82656
2018-03-01,2.0904761904761905,-0.52831
2018-04-01,2.1276190476190476,1.77677
2018-05-01,2.1418181818181818,0.66737
2018-06-01,2.1176190476190476,-1.12984
2018-07-01,2.1142857142857143,-0.15741
2018-08-01,2.0991304347826087,-0.71680
2018-09-01,2.1231578947368421,1.14464
2018-10-01,2.1113636363636364,-0.55551
2018-11-01,2.0040000000000000,-5.08504
2018-12-01,1.8163157894736842,-9.36548
2019-01-01,1.7938095238095238,-1.23912
2019-02-01,1.8768421052631579,4.62884
2019-03-01,1.9128571428571429,1.91892
2019-04-01,1.9366666666666667,1.24471
2019-05-01,1.8263636363636364,-5.69551
2019-06-01,1.7000000000000000,-6.91887
2019-07-01,1.7527272727272727,3.10160
2019-08-01,1.5863636363636364,-9.49170
2019-09-01,1.5870000000000000,0.04011
2019-10-01,1.5609090909090909,-1.64404
2019-11-01,1.6405263157894737,5.10070
2019-12-01,1.7180952380952381,4.72829
2020-01-01,1.7209523809523810,0.16630
2020-02-01,1.6157894736842105,-6.11074
2020-03-01,0.98681818181818181818,-38.92656
2020-04-01,1.1033333333333333,11.80715
2020-05-01,1.1155000000000000,1.10272
2020-06-01,1.2731818181818182,14.13553
2020-07-01,1.4563636363636364,14.38772
2020-08-01,1.6614285714285714,14.08061
2020-09-01,1.6561904761904762,-0.31528
2020-10-01,1.7038095238095238,2.87522
2020-11-01,1.7121052631578947,0.48689
2020-12-01,1.9159090909090909,11.90370
2021-01-01,2.0815789473684211,8.64706
2021-02-01,2.1800000000000000,4.72819
2021-03-01,.,.
